Product|brand_indication|segment|speciality|affinity_segment|affinity_type|Dimension_type|Dimension_Value|Min_Allowed|Max_Allowed|Active
US_304486|US_304486|Non-Targets|BOTH|NA|DPH|DIMENSION_1|HQ_EMAIL|0|0|Y
US_304486|US_304486|Critical|SPEC|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|12|18|Y
US_304486|US_304486|Critical|SPEC|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|10|14|Y
US_304486|US_304486|Critical|SPEC|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|7|11|Y
US_304486|US_304486|Critical|SPEC|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|5|7|Y
US_304486|US_304486|Critical|SPEC|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|Critical|SPEC|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y
US_304486|US_304486|Critical|PCP|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|12|20|Y
US_304486|US_304486|Critical|PCP|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|10|16|Y
US_304486|US_304486|Critical|PCP|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|7|12|Y
US_304486|US_304486|Critical|PCP|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|5|8|Y
US_304486|US_304486|Critical|PCP|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|Critical|PCP|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y
US_304486|US_304486|Critical|BOTH|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|12|18|Y
US_304486|US_304486|Critical|BOTH|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|10|14|Y
US_304486|US_304486|Critical|BOTH|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|7|11|Y
US_304486|US_304486|Critical|BOTH|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|5|7|Y
US_304486|US_304486|Critical|BOTH|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|Critical|BOTH|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y
US_304486|US_304486|High|SPEC|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|12|18|Y
US_304486|US_304486|High|SPEC|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|10|14|Y
US_304486|US_304486|High|SPEC|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|7|11|Y
US_304486|US_304486|High|SPEC|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|5|7|Y
US_304486|US_304486|High|SPEC|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|High|SPEC|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y
US_304486|US_304486|High|PCP|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|12|20|Y
US_304486|US_304486|High|PCP|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|10|16|Y
US_304486|US_304486|High|PCP|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|7|12|Y
US_304486|US_304486|High|PCP|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|5|8|Y
US_304486|US_304486|High|PCP|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|High|PCP|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y
US_304486|US_304486|High|BOTH|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|12|18|Y
US_304486|US_304486|High|BOTH|H|DPH|DIMENSION_1|MEDSCAPE_ALERT|10|14|Y
US_304486|US_304486|High|BOTH|M|DPH|DIMENSION_1|MEDSCAPE_ALERT|7|11|Y
US_304486|US_304486|High|BOTH|L|DPH|DIMENSION_1|MEDSCAPE_ALERT|5|7|Y
US_304486|US_304486|High|BOTH|VL|DPH|DIMENSION_1|MEDSCAPE_ALERT|2|4|Y
US_304486|US_304486|High|BOTH|NA|DPH|DIMENSION_1|MEDSCAPE_ALERT|0|4|Y
US_304486|US_304486|Medium|SPEC|VH|DPH|DIMENSION_1|MEDSCAPE_ALERT|3|6|Y
