metric_sk,sugg_key,sugg_name,salesforce_id,suggestion_type,frequency,FRAGMENT_ID,FRAGMENT_ORDER,Insight_type,Cloud_Tag_1,Cloud_Tag_2,Cloud_Tag_3,Insight_Metric_1,Insight_Metric_2,Insight_Metric_3
7fb58ed37c1b4237bab8a74b8f613cbe,Ebglyss_AD_10,Ebglyss_AD_10,DERM_RHEUM_HYB,Insight,NA,,,NA,,,,,,
faf387b44c754d429357fd9a84e23c91,Ebglyss_AD_11,Ebglyss_AD_11,Derm_1,Insight,NA,,,NA,,,,,,
faf387b44c754d429357fd9a84e23c91,Ebglyss_AD_11,Ebglyss_AD_11,Derm_2,Insight,NA,,,NA,,,,,,
faf387b44c754d429357fd9a84e23c91,Ebglyss_AD_11,Ebglyss_AD_11,DERM_RHEUM_HYB,Insight,NA,,,NA,,,,,,
92094d5e7ebc478fb8a1956e139e8f60,Omvoh_CD_01,Omvoh_CD_01,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
92094d5e7ebc478fb8a1956e139e8f60,Omvoh_CD_01,Omvoh_CD_01,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
92094d5e7ebc478fb8a1956e139e8f60,Omvoh_CD_01,Omvoh_CD_01,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
536d5f1966a6a92456c433278803a6d8,Omvoh_CD_02,Omvoh_CD_02,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
536d5f1966a6a92456c433278803a6d8,Omvoh_CD_02,Omvoh_CD_02,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
536d5f1966a6a92456c433278803a6d8,Omvoh_CD_02,Omvoh_CD_02,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
38f9361550ae457aaac4a3ac0da946a0,Omvoh_IBD_01,Omvoh_IBD_01,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
38f9361550ae457aaac4a3ac0da946a0,Omvoh_IBD_01,Omvoh_IBD_01,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
38f9361550ae457aaac4a3ac0da946a0,Omvoh_IBD_01,Omvoh_IBD_01,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
275431c06e4d4157822e1d6eb8116e84,Omvoh_IBD_02,Omvoh_IBD_02,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
275431c06e4d4157822e1d6eb8116e84,Omvoh_IBD_02,Omvoh_IBD_02,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
275431c06e4d4157822e1d6eb8116e84,Omvoh_IBD_02,Omvoh_IBD_02,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
262665621efb4b27bbe9fed8767f1542,Omvoh_IBD_03,Omvoh_IBD_03,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
262665621efb4b27bbe9fed8767f1542,Omvoh_IBD_03,Omvoh_IBD_03,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
262665621efb4b27bbe9fed8767f1542,Omvoh_IBD_03,Omvoh_IBD_03,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
fda41de3d0e4568deba1ba8f66bfeea9,Omvoh_IBD_04,Omvoh_IBD_04,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
fda41de3d0e4568deba1ba8f66bfeea9,Omvoh_IBD_04,Omvoh_IBD_04,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
fda41de3d0e4568deba1ba8f66bfeea9,Omvoh_IBD_04,Omvoh_IBD_04,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
2d29df3d099d4e01b4b34337e6eccb78,Omvoh_IBD_05,Omvoh_IBD_05,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
2d29df3d099d4e01b4b34337e6eccb78,Omvoh_IBD_05,Omvoh_IBD_05,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
2d29df3d099d4e01b4b34337e6eccb78,Omvoh_IBD_05,Omvoh_IBD_05,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
9ff9a8ee7da840fcab3e4e639c7e9180,Omvoh_IBD_06,Omvoh_IBD_06,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
9ff9a8ee7da840fcab3e4e639c7e9180,Omvoh_IBD_06,Omvoh_IBD_06,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
9ff9a8ee7da840fcab3e4e639c7e9180,Omvoh_IBD_06,Omvoh_IBD_06,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
264dab15b82749789b8a2e6b1bdc1981,Omvoh_UC_01,Omvoh_UC_01,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
264dab15b82749789b8a2e6b1bdc1981,Omvoh_UC_01,Omvoh_UC_01,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
264dab15b82749789b8a2e6b1bdc1981,Omvoh_UC_01,Omvoh_UC_01,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
1577a6479abb44abbe73df0ed06f4e34,Omvoh_UC_02,Omvoh_UC_02,GI_UNAD_SL,Insight,NA,,,NA,,,,,,
1577a6479abb44abbe73df0ed06f4e34,Omvoh_UC_02,Omvoh_UC_02,GI_BIAD_SL1,Insight,NA,,,NA,,,,,,
1577a6479abb44abbe73df0ed06f4e34,Omvoh_UC_02,Omvoh_UC_02,GI_BIAD_SL2,Insight,NA,,,NA,,,,,,
6f99794e64a743008a496b8fabbd0861,ZEP_CWM_13 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_13,CMH_TERR_1,Insight,Weekly,,,NA,,,,,,
6f99794e64a743008a496b8fabbd0861,ZEP_CWM_13 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_13,CMH_TERR_2,Insight,Weekly,,,NA,,,,,,
6f99794e64a743008a496b8fabbd0861,ZEP_CWM_13 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_13,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,,,
42b812f034454a3ca2eaf77ba54e6370,MNJ_T2D_21| Others - Not on Playbook,MNJ_T2D_21,CMH_TERR_1,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
42b812f034454a3ca2eaf77ba54e6370,MNJ_T2D_21| Others - Not on Playbook,MNJ_T2D_21,CMH_TERR_2,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
42b812f034454a3ca2eaf77ba54e6370,MNJ_T2D_21| Others - Not on Playbook,MNJ_T2D_21,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,MNJ_GLP1_PRODUCT_NBRX_6_M,,
8ac25ecc9d00420eb68ab0f3f9f6cbf9,ZEP_OSA_02 | P - Signal when there's a patient with certain lab test result which indicates opportunity for Lilly product,ZEP_OSA_02,CMH_TERR_1,Insight,Weekly,,,NA,,,,ZEP_CWM_MARKET_NRBX_4_W,,
8ac25ecc9d00420eb68ab0f3f9f6cbf9,ZEP_OSA_02 | P - Signal when there's a patient with certain lab test result which indicates opportunity for Lilly product,ZEP_OSA_02,CMH_TERR_2,Insight,Weekly,,,NA,,,,ZEP_CWM_MARKET_NRBX_4_W,,
8ac25ecc9d00420eb68ab0f3f9f6cbf9,ZEP_OSA_02 | P - Signal when there's a patient with certain lab test result which indicates opportunity for Lilly product,ZEP_OSA_02,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,ZEP_CWM_MARKET_NRBX_4_W,,
f4bafe51ce594744be35a2111c3e70b2,ZEP_CWM_01 | C - Signal when Lilly product prescription volume has decreased,ZEP_CWM_01 ,CMH_TERR_1,Insight,Weekly,,,NA,,,,ZEP_CWM_MARKET_NRBX_6_M,,
f4bafe51ce594744be35a2111c3e70b2,ZEP_CWM_01 | C - Signal when Lilly product prescription volume has decreased,ZEP_CWM_01 ,CMH_TERR_2,Insight,Weekly,,,NA,,,,ZEP_CWM_MARKET_NRBX_6_M,,
f4bafe51ce594744be35a2111c3e70b2,ZEP_CWM_01 | C - Signal when Lilly product prescription volume has decreased,ZEP_CWM_01 ,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,ZEP_CWM_MARKET_NRBX_6_M,,
1135d136617a4dac9a55ad964ee0054a,ZEP_CWM_10 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_10,CMH_TERR_1,Insight,Weekly,,,NA,,,,ZEP_LD_TRX_4W,ZEP_MD_TRX_4W,ZEP_HD_TRX_4W
1135d136617a4dac9a55ad964ee0054a,ZEP_CWM_10 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_10,CMH_TERR_2,Insight,Weekly,,,NA,,,,ZEP_LD_TRX_4W,ZEP_MD_TRX_4W,ZEP_HD_TRX_4W
1135d136617a4dac9a55ad964ee0054a,ZEP_CWM_10 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_10,CMH_UNAD_TERR,Insight,Weekly,,,NA,,,,ZEP_LD_TRX_4W,ZEP_MD_TRX_4W,ZEP_HD_TRX_4W
1a494e00eec54606aa68ab0054b1b03d,ZEP_CWM_14 | B - Signal when Lilly product was newly prescribed,ZEP_CWM_14,CMH_TERR_1,Insight,Weekly,,,NA,,,,ZEP_INJAOM_MARKET_NTS_13_W,,
