SOURCE_NAME|SOURCE_PRODUCT_NAME|TARGET_NAME|TARGET_PRODUCT_NAME|ATTRIBUTE_NAME1|ATTRIBUTE_VALUE1|BUSINESS_UNIT|ACTIVE
PRODUCT_MAPPING_FIA_ACTIVITY|US_708122_723224||ZEPBOUND CWM||US_708122|LDO|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_708127_420004||EBGLYSS AD||US_708127_420004|IMM|Y
SOA_ACTIVITY_FI|JARDIANCE|ZS|TYPE 2 DIABETES|PROD_SK|US_304544_DS057|LDO|N
SOA_ACTIVITY_FI|KISUNLA|ZS|ALZHEIMERS DISEASE|PROD_SK|US_708120_708233|ALZ|Y
SOA_ACTIVITY_FI|OLUMIANT|ZS|ALOPECIA AREATA|PROD_SK|US_304547_598010|BMBU_IMM|N
SUGG_ENGAGEMENT|US_304544_DS057|ZS|JARDIANCE|PROD_IND_SK|US_304544_DS057|LDO|N
SUGG_ENGAGEMENT|US_708120_708233|ZS|KISUNLA|PROD_IND_SK|US_708120_708233|ALZ|Y
SUGG_ENGAGEMENT|US_708122|ZS|ZEPBOUND|PROD_SK|US_708122|LDO|Y
OMVOH_TGT|US_708121_864734|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
TEAM_RESP_CD|US6M_US_708121|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
TEAM_RESP_CD|US6L_US_708121|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
TEAM_RESP_CD|US6N_US_708121|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
GA_ACTIVITY_FI|MOUNJARO|ZS|MOUNJARO|PROD_SK|US_613009_DS057|LDO|Y
CALL_ACTIVITY_FIA|OBSTRUCTIVE SLEEP APNEA|ZS|864716|PROD_SK||LDO|Y
FIA_SYNC_PRODUCTS|NA|ZS|ZEPBOUND CWM|PROD_SK|US_708122_723224|LDO|Y
FIA_SYNC_PRODUCTS|NA|ZS|ZEPBOUND OSA|PROD_SK|US_708122_864716|LDO|Y
PRODUCT_MAPPING_FIA_ACTIVITY|US_708122_864716||ZEPBOUND OSA||US_708122|LDO|Y
SOA_ACTIVITY_FI|ZEPBOUND|ZS|SLEEP APNEA|PROD_SK|US_708122_864716|LDO|Y
OMVOH_TGT|US_708121_864734|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
TEAM_RESP_CD|US6M_US_708121|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
TEAM_RESP_CD|US6L_US_708121|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
TEAM_RESP_CD|US6N_US_708121|ZS|OMVOH|PROD_SK|US_708121_864734|BMBU_IMM|Y
PRI_SUGG_POST_BR|US_708121_864734|OMVOH|IBD|OMVOH|US_708121|BMBU_IMM|Y
FIA_METRICS|OMVOH|PROD|US_708121|||GI|N
FIA_SYNC_PRODUCTS|a004R00000rzVIwQAM|ZS|OMVOH|PROD_SK|US_708121|GI|N
FIA_SYNC_PRODUCTS|NA|ZS|OMVOH UC|PROD_SK|US_708121_713022|GI|N
FIA_SYNC_PRODUCTS|NA|ZS|OMVOH CD|PROD_SK|US_708121_713021|GI|N
P2P_ACTIVITY_FI|OMVOH|ZS|OMVOH|PROD_SK|US_708121|GI|N
SOA_ACTIVITY_FI|OMVOH|ZS|CROHNS DISEASE|PROD_SK|US_708121_713021|GI|N
SOA_ACTIVITY_FI|OMVOH|ZS|ULCERATIVE COLITIS|PROD_SK|US_708121_713022|GI|N
SUGG_ENGAGEMENT|US_708121|ZS|OMVOH|PROD_SK|US_708121|GI|N
CALL_ACTIVITY_FIA|CROHNS DISEASE|ZS|713021|PROD_SK||GI|N
CALL_ACTIVITY_FIA|ULCERATIVE COLITIS|ZS|713022|PROD_SK||GI|N
PRODUCT_MAPPING_FIA_ACTIVITY|US_708121_713021||OMVOH CD||US_708121|GI|N
PRODUCT_MAPPING_FIA_ACTIVITY|US_708121_713022||OMVOH UC||US_708121|GI|N
TEAM_RESP_CD|US6M_US_708121|ZS|OMVOH|PROD_SK|US_708121_713021|GI|N
TEAM_RESP_CD|US6M_US_708121|ZS|OMVOH|PROD_SK|US_708121_713022|GI|N
TEAM_RESP_CD|US6N_US_708121|ZS|OMVOH|PROD_SK|US_708121_713021|GI|N
TEAM_RESP_CD|US6N_US_708121|ZS|OMVOH|PROD_SK|US_708121_713022|GI|N
TEAM_RESP_CD|US6L_US_708121|ZS|OMVOH|PROD_SK|US_708121_713021|GI|N
TEAM_RESP_CD|US6L_US_708121|ZS|OMVOH|PROD_SK|US_708121_713022|GI|N
